file,site,group,n,attack_types,src_top,dst_top,proto_top,t_first,t_last
6,1,benign_other,39844,"{""Benign"": 39844}","{""10.255.248.200"": 31014, ""10.50.150.200"": 3465, ""10.155.15.4"": 1611}","{""10.41.150.66"": 31139, ""10.155.15.1"": 1857, ""10.155.15.0"": 1852}","{""udp"": 34087, ""icmp"": 4020, ""tcp"": 1489}",00:00.7,59:59.7
7,1,attack,76121,"{""HTTPFlood"": 76121}","{""10.155.15.3"": 76121}","{""10.41.150.68"": 76121}","{""tcp"": 76121}",28:38.3,33:29.7
7,1,benign_other,17682,"{""Benign"": 17682}","{""10.255.248.200"": 9404, ""10.50.150.200"": 2486, ""10.155.15.1"": 1306}","{""10.41.150.66"": 9520, ""10.155.15.1"": 1019, ""10.155.15.6"": 1002}","{""udp"": 12011, ""tcp"": 2959, ""icmp"": 2486}",23:21.5,53:28.2
8,1,attack,6207,"{""SlowrateDoS"": 6207}","{""10.155.15.0"": 6207}","{""10.41.150.68"": 6207}","{""tcp"": 6207}",22:04.8,32:52.6
8,1,benign_other,24808,"{""Benign"": 24808}","{""10.255.248.200"": 18568, ""10.50.150.200"": 2089, ""109.105.109.206"": 807}","{""10.41.150.66"": 18792, ""10.155.15.0"": 1575, ""109.105.109.206"": 668}","{""udp"": 21008, ""icmp"": 2089, ""tcp"": 1487}",19:21.9,48:26.9
9,1,attack,29885,"{""SlowrateDoS"": 29885}","{""10.155.15.4"": 29885}","{""10.41.150.68"": 29885}","{""tcp"": 29885}",00:00.0,59:59.9
9,1,benign_other,8235,"{""Benign"": 8235}","{""10.50.150.200"": 5172, ""109.105.109.206"": 1026, ""10.155.15.6"": 700}","{""10.155.15.0"": 2066, ""10.155.15.1"": 2055, ""10.155.15.6"": 1756}","{""icmp"": 5172, ""udp"": 2552, ""tcp"": 308}",00:00.2,59:59.4
10,1,benign_other,1608,"{""Benign"": 1608}","{""10.255.248.200"": 489, ""10.255.248.116"": 308, ""10.41.150.20"": 213}","{""10.41.150.66"": 1013, ""193.166.161.4"": 115, ""10.255.248.200"": 71}","{""udp"": 610, ""sctp"": 521, ""tcp"": 474}",00:02.5,59:59.6
11,2,attack,10024,"{""SYNScan"": 10024}","{""10.155.15.14"": 10024}","{""10.41.150.68"": 10024}","{""tcp"": 10014, ""icmp"": 10}",30:57.1,36:07.8
11,2,benign_other,1502,"{""Benign"": 1502}","{""10.50.150.200"": 511, ""109.105.109.206"": 404, ""10.155.15.12"": 127}","{""10.155.15.6"": 616, ""10.155.15.5"": 104, ""10.155.15.12"": 102}","{""udp"": 827, ""icmp"": 517, ""tcp"": 91}",30:03.3,38:45.5
12,2,attack,10030,"{""TCPConnectScan"": 10030}","{""10.155.15.14"": 10030}","{""10.41.150.68"": 10030}","{""tcp"": 10020, ""icmp"": 10}",00:06.0,59:54.1
12,2,benign_other,1623,"{""Benign"": 1623}","{""10.50.150.200"": 573, ""109.105.109.206"": 456, ""10.155.15.12"": 131}","{""10.155.15.6"": 686, ""10.155.15.8"": 115, ""10.155.15.5"": 115}","{""udp"": 892, ""icmp"": 579, ""tcp"": 79}",00:00.4,59:59.4
13,2,attack,8019,"{""UDPScan"": 8019}","{""10.155.15.3"": 8019}","{""10.41.150.68"": 8019}","{""udp"": 7987, ""tcp"": 24, ""icmp"": 8}",30:15.5,38:04.8
13,2,benign_other,2286,"{""Benign"": 2286}","{""10.41.150.67"": 662, ""10.255.248.200"": 460, ""109.105.109.206"": 338}","{""10.255.248.200"": 614, ""10.41.150.67"": 496, ""216.58.211.10"": 204}","{""udp"": 1909, ""tcp"": 302, ""sctp"": 75}",28:30.5,38:14.8
14,2,attack,542,"{""ICMPFlood"": 542}","{""10.155.15.3"": 542}","{""10.41.150.68"": 542}","{""icmp"": 542}",04:18.4,13:19.7
14,2,benign_other,13910,"{""Benign"": 13910}","{""10.255.248.200"": 8481, ""10.41.150.67"": 1849, ""109.105.109.206"": 1172}","{""10.41.150.67"": 8483, ""10.255.248.200"": 1596, ""216.58.211.10"": 510}","{""udp"": 12385, ""tcp"": 1183, ""sctp"": 225}",00:00.0,59:59.3
15,2,attack,281529,"{""UDPFlood"": 281529}","{""10.155.15.7"": 281529}","{""10.41.150.68"": 281529}","{""udp"": 281529}",03:49.0,13:32.4
15,2,benign_other,4668,"{""Benign"": 4668}","{""10.50.150.200"": 1687, ""109.105.109.206"": 1338, ""10.155.15.9"": 396}","{""10.155.15.6"": 2023, ""10.155.15.5"": 341, ""10.155.15.9"": 340}","{""udp"": 2536, ""icmp"": 1687, ""tcp"": 235}",00:00.4,59:59.3
16,2,attack,4929,"{""SYNFlood"": 4929}","{""10.155.15.3"": 4929}","{""10.41.150.68"": 4929}","{""tcp"": 4929}",50:18.9,58:33.6
16,2,benign_other,9179,"{""Benign"": 9179}","{""10.255.248.200"": 7352, ""10.155.15.9"": 698, ""10.155.15.10"": 582}","{""10.41.150.67"": 7597, ""109.105.109.206"": 333, ""173.194.220.101"": 171}","{""udp"": 8235, ""tcp"": 699, ""sctp"": 243}",00:00.1,59:57.8
17,2,attack,64691,"{""HTTPFlood"": 64691}","{""10.155.15.6"": 64691}","{""10.41.150.68"": 64691}","{""tcp"": 64691}",41:40.8,45:51.2
17,2,benign_other,28959,"{""Benign"": 28959}","{""10.255.248.200"": 22095, ""10.50.150.200"": 1538, ""10.155.15.4"": 741}","{""10.41.150.67"": 22097, ""10.155.15.6"": 1667, ""10.155.15.0"": 832}","{""udp"": 24407, ""tcp"": 2581, ""icmp"": 1743}",23:21.6,53:27.8
18,2,attack,7047,"{""SlowrateDoS"": 7047}","{""10.155.15.6"": 7047}","{""10.41.150.68"": 7047}","{""tcp"": 7047}",29:19.7,37:58.0
18,2,benign_other,5609,"{""Benign"": 5609}","{""10.255.248.200"": 1662, ""10.50.150.200"": 1295, ""10.155.15.4"": 880}","{""10.41.150.67"": 1776, ""10.155.15.6"": 1295, ""10.155.15.3"": 262}","{""udp"": 3307, ""icmp"": 1297, ""tcp"": 778}",19:21.5,48:26.9
19,2,attack,29985,"{""SlowrateDoS"": 29985}","{""10.155.15.3"": 29985}","{""10.41.150.68"": 29985}","{""tcp"": 29985}",03:28.6,14:25.9
19,2,benign_other,1684,"{""Benign"": 1684}","{""109.105.109.206"": 660, ""10.155.15.10"": 432, ""10.155.15.9"": 225}","{""10.155.15.9"": 341, ""10.155.15.10"": 327, ""10.41.150.67"": 199}","{""udp"": 1307, ""sctp"": 223, ""tcp"": 152}",00:01.1,59:57.6
20,2,benign_other,1358,"{""Benign"": 1358}","{""10.255.248.200"": 447, ""10.41.150.67"": 357, ""10.41.150.20"": 215}","{""10.41.150.67"": 665, ""10.255.248.116"": 265, ""10.155.7.21"": 95}","{""udp"": 515, ""sctp"": 480, ""tcp"": 360}",00:02.4,59:56.6
