paper_id,title,authors,year,venue,link,open_source_code,dataset,testbed,oran_stack,ric_type,attack_types,feature_modalities,model,baseline_models,split_strategy,cross_deployment_evaluation,latency_evaluation,p95_latency,p99_latency,resource_evaluation,false_alert_evaluation,class_imbalance,attack_base_rate,adversarial_evaluation,external_validation,limitations,relevance,what_our_project_learns,potential_gap,verification_status,verified_on
P11,Black-Box Evasion Attacks on Data-Driven Open RAN Apps: Tailored Design and Experimental Evaluation,Gajjar P.; Khoja M.; Ganiyu A.; Juarez M.; Marina M. K.; Lehane A.; Shah V. K.,2025,arXiv,https://arxiv.org/abs/2510.18160,unknown,testbed and emulation data,real-world O-RAN testbed plus emulation,unknown,both Near-RT (xApp) and Non-RT (rApp),adversarial evasion against ML apps: an interference-classification xApp and a power-saving rApp,RAN data exposed to third-party apps through the RICs,"victim apps are the targets; the attack uses model cloning, input-specific perturbations, universal adversarial perturbations and targeted UAPs",n/a,n/a,no,attacks are designed to respect stringent timing constraints; victim latency is not the metric,no,no,unknown,no,n/a,n/a,"yes - this is the adversarial study, and it succeeds against prominent adversarial-ML defences",no,the victim apps are not IDS; attack success rates were not retrieved from the abstract,HIGH - direct evidence that clean-test accuracy does not establish O-RAN ML deployability,"a Phase 8 evasion study on our detector is warranted and has an established methodology to follow (black-box, timing-constrained, UAP)",no IDS victim; no measurement of how evasion interacts with alert burden or transfer degradation,PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P12,Robust Anomaly Detection in O-RAN: Leveraging LLMs against Data Manipulation Attacks,NOT VERIFIED,2025,1st free5GC World Forum (ACM),https://doi.org/10.1145/3733814.3765495 | https://arxiv.org/abs/2508.08029,unknown,unknown,unknown,unknown,Near-RT RIC (Shared Data Layer attack surface),data manipulation by a malicious xApp writing to the Shared Data Layer; 'hypoglyph' Unicode perturbation,SDL-stored telemetry,LLM-based anomaly detection compared against an AutoEncoder baseline,"AutoEncoder, which crashes on hypoglyphed input",unknown,no,yes - detection latency below 0.07 s claimed,unknown,unknown,unknown,unknown,unknown,no,yes - input manipulation against the detector itself,no,0.07 s is seven times our 10 ms budget and near the permissive end of the near-RT range; the attack is text/Unicode specific,MEDIUM-HIGH - shows the detector input path is itself an attack surface,"Phase 8 should include malformed and manipulated telemetry, not only feature-space perturbation; also that an LLM detector is not near-RT at the strict end of the range",single attack modality; no transfer or alert-burden analysis,WEAK: search snippets and DOI metadata only,2026-09-20
P13,The Base-Rate Fallacy and the Difficulty of Intrusion Detection,Axelsson S.,2000,ACM Transactions on Information and System Security (TISSEC) 3(3),https://doi.org/10.1145/357830.357849,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Bayesian analysis of detection rate against false alarm rate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes - the foundational result that the false alarm rate is the limiting factor on the Bayesian detection rate P(Intrusion|Alarm),yes - the central subject,yes - the central subject,n/a,n/a,"analytical, and pre-dates modern ML-based IDS",CRITICAL - the theoretical basis for our Criterion 2 and equation (5),"our PPV-at-realistic-pi argument restates a result that has been known for 26 years, so the novelty cannot be the fallacy itself, only its quantification for a specific O-RAN artefact under measured transfer degradation","not a gap but a foundation; cite it to frame, never to claim",canonical reference; DOI and venue confirmed by search; full text not re-read,2026-09-20
P14,Cross-Domain Generalization Failure in Lightweight Intrusion Detection Models for IIoT Networks,Hakim M. A.; Uddin M. S.; Anis T. I.,2026,arXiv,https://arxiv.org/abs/2607.00553,unknown,three IIoT datasets (names not stated in the abstract),n/a (public corpora),"none - IIoT, not O-RAN",none,IIoT attacks (unspecified in the abstract),a shared feature representation restricted to attributes available across all three corpora,four lightweight architectures,within-domain performance,"train on one network, evaluate on two others without retraining",yes - this is the study,no,no,no,no,partial,yes - evaluates under naturally imbalanced distributions,partial - shows the evaluation protocol can REVERSE which target appears harder,no,yes by construction,"no deployability, latency or resource dimension; IIoT rather than O-RAN","HIGH - the closest methodological twin outside O-RAN, and a direct constraint on the novelty of our RQ1","(i) the shared-feature-space protocol we plan is the established one; (ii) their finding that the evaluation protocol can reverse the apparent ranking is a warning we must test for rather than assume away; (iii) cross-domain IDS failure is NOT novel in general, so our novelty must rest on the O-RAN deployment context plus the joint criteria","no O-RAN, no radio modality, no latency or resource measurement, no RIC",PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P15,StormShield: Fingerprint-Based Detection and Mitigation of RRC Signaling Storms in O-RAN 5G RANs,NOT VERIFIED,2026,arXiv,https://arxiv.org/abs/2605.14032,unknown,unknown,unknown,unknown,unknown,RRC signalling storms,RRC signalling fingerprints,fingerprint-based detection,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not assessed,MEDIUM - the signalling-storm threat is our paper's stated IoT motivation,"a candidate source for the 'compromised IoT causes signalling overload' claim in our Introduction, which is currently uncited",not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
P16,ORAN-DEFEND: Subspace Detection and Sanitization of Backdoor DRL xApps in Open RAN,NOT VERIFIED,2026,arXiv,https://arxiv.org/abs/2607.06647,unknown,unknown,unknown,unknown,Near-RT RIC,backdoored DRL xApps,unknown,subspace detection and sanitisation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (backdoor/poisoning),unknown,not assessed,MEDIUM - a poisoning-defence precedent for Phase 8,"poisoning of xApp models is an active 2026 topic, so our Phase 8 label-poisoning experiment has precedent",not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
P17,Rogue Cell: Adversarial Attack and Defense in Untrusted O-RAN Setup Exploiting the Traffic Steering xApp,NOT VERIFIED,2025,arXiv,https://arxiv.org/abs/2505.01816,unknown,unknown,unknown,unknown,Near-RT RIC,adversarial attack on a traffic-steering xApp,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,not assessed,MEDIUM - untrusted-xApp threat model,threat-model breadth for Section III,not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
P18,Machine Learning-based Early Attack Detection Using Open RAN Intelligent Controller,NOT VERIFIED,2023,arXiv,https://arxiv.org/abs/2302.01864,unknown,unknown,unknown,unknown,RIC,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not assessed,MEDIUM - an early RIC-based detection precedent for related work,establishes the 'high in-distribution accuracy' reporting practice our paper critiques,not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
P19,Base-Rate Fallacy Redux and a Deep Dive Review in Cybersecurity,NOT VERIFIED,2022,arXiv,https://arxiv.org/abs/2203.08801,n/a,n/a,n/a,n/a,n/a,n/a,n/a,review,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,n/a,n/a,review,MEDIUM - a modern restatement of P13 for the Criterion 2 framing,a current citation for base-rate reasoning alongside Axelsson,n/a,TITLE AND URL ONLY - not retrieved,2026-09-20
P20,"Introducing a Comprehensive, Continuous, and Collaborative Survey of Intrusion Detection Datasets",NOT VERIFIED,2024,arXiv,https://arxiv.org/abs/2408.02521,unknown,survey of IDS datasets,n/a,n/a,n/a,n/a,n/a,n/a,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,survey,MEDIUM - a systematic source for Phase 13 external-validation corpus selection,use it to select a genuinely independent third corpus rather than another split of D_A or D_B,n/a,TITLE AND URL ONLY - not retrieved,2026-09-20
P21,ColO-RAN: Developing Machine Learning-based xApps for Open RAN Closed-loop Control on Programmable Experimental Platforms,NOT VERIFIED (Polese et al. group),2022,arXiv / IEEE TMC,https://arxiv.org/abs/2112.09559,likely (OpenRAN Gym lineage),Colosseum-generated,Colosseum,srsRAN on Colosseum,O-RAN SC Near-RT RIC,"none (control, not security)",RAN KPMs,deep reinforcement learning xApps,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,not a security study,MEDIUM - the platform citation our draft currently uses in place of a DATASET citation (see gate A1),"this is a PLATFORM paper, and citing it as the provenance of D_A is the specific error gate A1 identifies",n/a,TITLE AND URL ONLY - not retrieved,2026-09-20
P22,Interpretable Anomaly-Based DDoS Detection in AI-RAN with XAI and LLMs,NOT VERIFIED,2025,arXiv,https://arxiv.org/abs/2507.21193,unknown,unknown,unknown,unknown,unknown,DDoS,unknown,anomaly detection with XAI and an LLM,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not assessed,LOW-MEDIUM - related-work coverage,current AI-RAN detection practice,not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
P23,O-RAN E2SM-KPM DoS Detection Dataset and Evaluation Artifact,Abdelhalim M.; Towhid M. S.; Shahriar N. (University of Regina),2026,"Zenodo artifact, associated with a PST 2026 paper",https://doi.org/10.5281/zenodo.21198102 | https://github.com/Majdi-Abdelhalim/oran-dos-kpm-dataset,"yes - MIT licence; oran-dos-kpm-dataset-v1.0.0.zip, 69.8 MB",O-RAN E2SM-KPM DoS detection dataset,unknown,unknown,E2SM-KPM telemetry,DoS,E2SM-KPM KPIs (fields not stated on the record),n/a (dataset plus evaluation artifact),unknown,unknown,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,n/a,"the Zenodo record carries no description, so testbed, attack taxonomy and record counts are undocumented there","HIGH - the leading candidate for the Phase 13 INDEPENDENT external-validation corpus: different site, different team, MIT licence, and small enough to handle","a third, genuinely independent O-RAN corpus may exist; the GitHub repository must be inspected to confirm feature overlap with our shared space",undocumented on Zenodo; needs direct inspection,PARTIAL: Zenodo record retrieved but description empty; artefact NOT downloaded,2026-09-20
P24,Cross-Layer Detection of Wireless Misbehavior Using 5G RAN Telemetry and Operational Metadata,Ganiuly D.; Bolatbek N.; Smaiyl A.,2025,arXiv,https://arxiv.org/abs/2511.21803,unknown,own testbed capture,"controlled 5G Standalone testbed, commercial UE, SDR adversary",gNB (stack not stated),none stated,power inflation; timing drift; off-grant uplink bursts,"PHY measurements, MAC scheduling decisions and gNB configuration metadata","rule and consistency-based cross-layer signatures, NOT machine learning",n/a,n/a,no,no,no,no,no,no,n/a,no,no,no,single controlled testbed; no false-positive rate; no operational scalability analysis,"MEDIUM - an alternative, non-ML cross-layer detection design point","cross-layer consistency signatures are a non-learned baseline family we had not considered, and are worth one Level-1/2 baseline in Phase 3","no FPR, no transfer, no deployability measurement",PARTIAL: arXiv abstract page retrieved; full text NOT read,2026-09-20
P25,From Description to Detection: LLM based Extendable O-RAN Compliant Blind DoS Detection in 5G and Beyond,NOT VERIFIED,2025,arXiv,https://arxiv.org/abs/2510.06530,unknown,unknown,unknown,unknown,O-RAN compliant,blind DoS,unknown,LLM-based,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not assessed,LOW-MEDIUM - related work,"LLM detectors are being proposed for near-RT roles, and their latency is a natural upper anchor on our Pareto plot",not assessed,TITLE AND URL ONLY - not retrieved,2026-09-20
