key,bib_doi,bib_first_author,bib_n_authors,bib_year,check,cr_doi,cr_first_author,cr_n_authors,cr_title,cr_venue,cr_year,title,title_sim
oran_wg3_ricarch,,alliance,1,2023,NOT_FOUND,10.47191/etj/v10i05.10,,,Blockchain for Tokenized Real-World Assets: A Scalable Framework for Cross-Functional Coll,Engineering and Technology Journal,2025,{O-RAN} Near-Real-time {RAN} Intelligent Controller Architecture,0.265
oran_wg11_security,,alliance,1,2023,NOT_FOUND,10.5038/1944-0472.8.4.1456,,,Best Practices for Operating Government-Industry Partnerships in Cyber Security,Journal of Strategic Security,2015,{O-RAN} Security Threat Modeling and Remediation Analysis,0.182
liyanage2023openran,10.1016/j.jnca.2023.103621,liyanage,4,2023,OK,,liyanage,4,Open RAN security: Challenges and opportunities,Journal of Network and Computer Applications,2023,Open {RAN} Security: Challenges and Opportunities,1.0
mimran2022security,10.1016/j.cose.2022.102890,mimran,8,2022,OK,,mimran,8,Security of Open Radio Access Networks,Computers &amp; Security,2022,Security of Open Radio Access Networks,1.0
groen2025implementing,10.1109/MNET.2024.3434419,groen,7,2025,OK,,groen,7,"Implementing and Evaluating Security in O-RAN: Interfaces, Intelligence, and Platforms",IEEE Network,2025,"Implementing and Evaluating Security in {O-RAN}: Interfaces, Intelligence, and Platforms",1.0
wen2024spector,10.14722/ndss.2024.24527,wen,5,2024,OK,,wen,5,5G-Spector: An O-RAN Compliant Layer-3 Cellular Attack Detection Service,Proceedings 2024 Network and Distributed System Security Sym,2024,{5G-Spector}: An {O-RAN} Compliant Layer-3 Cellular Attack Detection Service,1.0
antonakakis2017mirai,,antonakakis,19,2017,NOT_FOUND,10.1109/tdsc.2015.2496176,,,Still Beheading Hydras: Botnet Takedowns Then and Now,IEEE Transactions on Dependable and Secure Computing,2017,Understanding the {Mirai} Botnet,0.439
kolias2017ddos,10.1109/MC.2017.201,kolias,4,2017,OK,,kolias,4,DDoS in the IoT: Mirai and Other Botnets,Computer,2017,{DDoS} in the {IoT}: {Mirai} and Other Botnets,1.0
gorbil2016signalling,10.1109/TETC.2015.2389662,gorbil,4,2016,OK,,gorbil,4,Modeling and Analysis of RRC-Based Signalling Storms in 3G Networks,IEEE Transactions on Emerging Topics in Computing,2016,Modeling and Analysis of {RRC}-Based Signalling Storms in {3G} Networks,1.0
shi2016edge,10.1109/JIOT.2016.2579198,shi,5,2016,OK,,shi,5,Edge Computing: Vision and Challenges,IEEE Internet of Things Journal,2016,Edge Computing: Vision and Challenges,1.0
koroniotis2019botiot,10.1016/j.future.2019.05.041,koroniotis,4,2019,OK,,koroniotis,4,Towards the development of realistic botnet dataset in the Internet of Things for network ,Future Generation Computer Systems,2019,Towards the Development of Realistic Botnet Dataset in the {Internet of Things} for Networ,1.0
moustafa2021toniot,10.1016/j.scs.2021.102994,moustafa,1,2021,OK,,moustafa,1,A new distributed architecture for evaluating AI-based security systems at the edge: Netwo,Sustainable Cities and Society,2021,A New Distributed Architecture for Evaluating {AI}-Based Security Systems at the Edge: Net,1.0
ferrag2022edgeiiot,10.1109/ACCESS.2022.3165809,ferrag,5,2022,OK,,ferrag,5,Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applica,IEEE Access,2022,{Edge-IIoTset}: A New Comprehensive Realistic Cyber Security Dataset of {IoT} and {IIoT} A,1.0
neto2023ciciot,10.3390/s23135941,neto,6,2023,OK,,neto,6,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,Sensors,2023,{CICIoT2023}: A Real-Time Dataset and Benchmark for Large-Scale Attacks in {IoT} Environme,1.0
sharafaldin2018cicids,10.5220/0006639801080116,sharafaldin,3,2018,OK,,sharafaldin,3,Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization,Proceedings of the 4th International Conference on Informati,2018,Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization,1.0
samarakoon2022nidd,10.21227/xtep-hv36,samarakoon,8,2022,DOI_NOT_RESOLVED,,,,,,,{5G-NIDD}: A Comprehensive Network Intrusion Detection Dataset Generated over {5G} Wireles,
siriwardhana2025descriptor,10.1109/IEEEDATA.2025.3592888,siriwardhana,8,2025,OK,,siriwardhana,8,Descriptor: 5G Wireless Network Intrusion Detection Dataset (5G-NIDD),IEEE Data Descriptions,2025,Descriptor: {5G} Wireless Network Intrusion Detection Dataset ({5G-NIDD}),1.0
sarhan2021netflow,10.1007/978-3-030-72802-1_9,sarhan,4,2021,OK,,sarhan,4,NetFlow Datasets for Machine Learning-Based Network Intrusion Detection Systems,"Lecture Notes of the Institute for Computer Sciences, Social",2021,{NetFlow} Datasets for Machine Learning-Based Network Intrusion Detection Systems,1.0
sarhan2022standard,10.1007/s11036-021-01843-0,sarhan,3,2022,OK,,sarhan,3,Towards a Standard Feature Set for Network Intrusion Detection System Datasets,Mobile Networks and Applications,2022,Towards a Standard Feature Set for Network Intrusion Detection System Datasets,1.0
layeghy2022generalisability,10.1016/j.compeleceng.2023.108692,layeghy,2,2023,OK,,layeghy,2,Explainable Cross-domain Evaluation of ML-based Network Intrusion Detection Systems,Computers and Electrical Engineering,2023,Explainable Cross-Domain Evaluation of {ML}-Based Network Intrusion Detection Systems,1.0
layeghy2023benchmarking,10.1016/j.jisa.2023.103689,layeghy,3,2024,OK,,layeghy,3,Benchmarking the benchmark — Comparing synthetic and real-world Network IDS datasets,Journal of Information Security and Applications,2024,Benchmarking the Benchmark --- Comparing Synthetic and Real-World Network {IDS} Datasets,1.0
arp2022dosdonts,,arp,8,2022,NOT_FOUND,10.1109/eurosp.2018.00041,,,Forgotten Siblings: Unifying Attacks on Machine Learning and Digital Watermarking,2018 IEEE European Symposium on Security and Privacy (EuroS&,2018,Dos and Don'ts of Machine Learning in Computer Security,0.507
sommer2010outside,10.1109/SP.2010.25,sommer,2,2010,OK,,sommer,2,Outside the Closed World: On Using Machine Learning for Network Intrusion Detection,2010 IEEE Symposium on Security and Privacy,2010,Outside the Closed World: On Using Machine Learning for Network Intrusion Detection,1.0
axelsson2000baserate,10.1145/357830.357849,axelsson,1,2000,OK,,axelsson,1,The base-rate fallacy and the difficulty of intrusion detection,ACM Transactions on Information and System Security,2000,The Base-Rate Fallacy and the Difficulty of Intrusion Detection,1.0
apruzzese2023role,10.1145/3545574,apruzzese,7,2023,OK,,apruzzese,7,The Role of Machine Learning in Cybersecurity,Digital Threats: Research and Practice,2023,The Role of Machine Learning in Cybersecurity,1.0
breiman2001random,10.1023/A:1010933404324,breiman,1,2001,OK,,breiman,1,Random Forests,Machine Learning,2001,Random Forests,1.0
chen2016xgboost,10.1145/2939672.2939785,chen,2,2016,MISMATCH,,chen,2,XGBoost,Proceedings of the 22nd ACM SIGKDD International Conference ,2016,{XGBoost}: A Scalable Tree Boosting System,0.304
pedregosa2011scikit,,pedregosa,16,2011,NOT_FOUND,10.1145/2786984.2786995,,,Scikit-learn,GetMobile: Mobile Computing and Communications,2015,Scikit-learn: Machine Learning in {Python},0.449
liu2008isolation,10.1109/ICDM.2008.17,liu,3,2008,OK,,liu,3,Isolation Forest,2008 Eighth IEEE International Conference on Data Mining,2008,Isolation Forest,1.0
lundberg2017shap,,lundberg,2,2017,NOT_FOUND,10.1093/ehjdh/ztaf143.163,,,Cost-aware prediction (CAP): an LLM-supported machine learning pipeline for interpreting h,European Heart Journal - Digital Health,2026,A Unified Approach to Interpreting Model Predictions,0.48
abraheem2026bidirectional,,abraheem,2,2026,NOT_FOUND,10.1109/iccce66530.2025.11473983,,,Enhancing Cross-Project Defect Prediction for Automated Software Fault Detection,2025 10th International Conference on Computer and Communica,2025,Bidirectional Cross-Dataset Generalization and Label-Efficient Adaptation for {5G} Network,0.476
obiuwevwi2026realtime,,obiuwevwi,10,2026,FOUND_NO_DOI_IN_BIB,10.1109/icccn69946.2026.11662852,,,Enabling Real-Time AI in O-RAN: Deploying and Measuring AI Inside a Near-RT RIC xApp,2026 35th International Conference on Computer Communication,2026,Enabling Real-Time {AI} in {O-RAN}: Deploying and Measuring {AI} Inside a Near-{RT} {RIC} ,1.0
abedzadeh2025netslab,10.1109/IEEEDATA.2025.3614167,zadeh,5,2025,OK,,zadeh,5,Descriptor: 5G Open Radio Access Network Multi-Modal Intrusion Detection Dataset (NetsLab-,IEEE Data Descriptions,2025,Descriptor: {5G} Open Radio Access Network Multi-Modal Intrusion Detection Dataset ({NetsL,1.0
fard2026crosslayer,,fard,3,2026,NOT_FOUND,10.1007/s11227-025-08158-x,,,LightIDS: a lightweight neural network-based intrusion detection system,The Journal of Supercomputing,2025,Cross-Layer Intrusion Detection in {5G} {O-RAN}: Gains and Limits of Fusing Radio Telemetr,0.335
scalingi2024detran,10.1109/INFOCOM52122.2024.10621223,scalingi,5,2024,OK,,scalingi,5,Det-RAN: Data-Driven Cross-Layer Real-Time Attack Detection in 5G Open RANs,IEEE INFOCOM 2024 - IEEE Conference on Computer Communicatio,2024,{Det-RAN}: Data-Driven Cross-Layer Real-Time Attack Detection in {5G} Open {RANs},1.0
pendlebury2019tesseract,,pendlebury,5,2019,NOT_FOUND,10.1109/sp46214.2022.9833659,,,Transcending TRANSCEND: Revisiting Malware Classification in the Presence of Concept Drift,2022 IEEE Symposium on Security and Privacy (SP),2022,{TESSERACT}: Eliminating Experimental Bias in Malware Classification across Space and Time,0.534
kapoor2023leakage,10.1016/j.patter.2023.100804,kapoor,2,2023,OK,,kapoor,2,Leakage and the reproducibility crisis in machine-learning-based science,Patterns,2023,Leakage and the Reproducibility Crisis in Machine-Learning-Based Science,1.0
saerens2002adjusting,10.1162/089976602753284446,saerens,3,2002,OK,,saerens,3,"Adjusting the Outputs of a Classifier to New a
                    <i>Priori</i>
         ",Neural Computation,2002,Adjusting the Outputs of a Classifier to New a Priori Probabilities: A Simple Procedure,0.989
lipton2018bbse,,lipton,3,2018,NOT_FOUND,10.52202/068431-1637,,,Domain Adaptation Under Open Set Label Shift,Advances in Neural Information Processing Systems 35,2022,Detecting and Correcting for Label Shift with Black Box Predictors,0.4
nadeau2003inference,10.1023/A:1024068626366,nadeau,2,2003,OK,,nadeau,2,Inference for the Generalization Error,Machine Learning,2003,Inference for the Generalization Error,1.0
fawcett2007pav,10.1007/s10994-007-5011-0,fawcett,2,2007,OK,,fawcett,2,PAV and the ROC convex hull,Machine Learning,2007,{PAV} and the {ROC} Convex Hull,1.0
ovadia2019trust,,ovadia,9,2019,NOT_FOUND,10.1037/e537902012-011,,,All you need is love? Strengths mediate the negative association between attachment orient,PsycEXTRA Dataset,2011,Can You Trust Your Model's Uncertainty? {E}valuating Predictive Uncertainty under Dataset ,0.298
rabanser2019failing,,rabanser,3,2019,NOT_FOUND,10.1002/jmor.10728,,,Three types of cutaneous glands in the skin of the salamandrid <i>Pleurodeles waltl</i>. A,Journal of Morphology,2009,Failing Loudly: An Empirical Study of Methods for Detecting Dataset Shift,0.185
sun2016coral,10.1609/aaai.v30i1.10306,sun,3,2016,OK,,sun,3,Return of Frustratingly Easy Domain Adaptation,Proceedings of the AAAI Conference on Artificial Intelligenc,2016,Return of Frustratingly Easy Domain Adaptation,1.0
guo2017calibration,,guo,4,2017,NOT_FOUND,10.1016/j.neunet.2026.108651,,,C3Net: A cross-modal collaborative calibration of features for object detection using fram,Neural Networks,2026,On Calibration of Modern Neural Networks,0.34
cho2014gru,10.3115/v1/D14-1179,cho,7,2014,OK,,cho,7,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translat,Proceedings of the 2014 Conference on Empirical Methods in N,2014,Learning Phrase Representations using {RNN} Encoder--Decoder for Statistical Machine Trans,1.0
samarakoon2022niddarxiv,,samarakoon,8,2022,NOT_FOUND,10.1109/ieeedata.2025.3592888,,,Descriptor: 5G Wireless Network Intrusion Detection Dataset (5G-NIDD),IEEE Data Descriptions,2025,{5G-NIDD}: A Comprehensive Network Intrusion Detection Dataset Generated over {5G} Wireles,0.595
ilias2024moe5g,,ilias,5,2024,FOUND_NO_DOI_IN_BIB,10.3389/frai.2025.1708953,,,Convolutional neural networks and mixture of experts for intrusion detection in 5G network,Frontiers in Artificial Intelligence,2026,Convolutional Neural Networks and Mixture of Experts for Intrusion Detection in {5G} Netwo,1.0
dhooge2020interdataset,10.1016/j.jisa.2020.102564,dhooge,4,2020,OK,,d’hooge,4,Inter-dataset generalization strength of supervised machine learning methods for intrusion,Journal of Information Security and Applications,2020,Inter-Dataset Generalization Strength of Supervised Machine Learning Methods for Intrusion,1.0
engelen2021troubleshooting,10.1109/SPW53761.2021.00009,engelen,3,2021,OK,,engelen,3,Troubleshooting an Intrusion Detection Dataset: the CICIDS2017 Case Study,2021 IEEE Security and Privacy Workshops (SPW),2021,Troubleshooting an Intrusion Detection Dataset: the {CICIDS2017} Case Study,1.0
flood2024smells,10.1109/EuroSP60621.2024.00042,flood,4,2024,OK,,flood,4,Bad Design Smells in Benchmark NIDS Datasets,2024 IEEE 9th European Symposium on Security and Privacy (Eu,2024,Bad Design Smells in Benchmark {NIDS} Datasets,1.0
kus2022falsesense,10.1145/3494107.3522773,kus,8,2022,MISMATCH,,kus,8,A False Sense of Security?,Proceedings of the 8th ACM on Cyber-Physical System Security,2022,A False Sense of Security? {R}evisiting the State of Machine Learning-Based Industrial Int,0.394
nugraha2025fivegdatasets,10.1109/CSR64739.2025.11130023,nugraha,10,2025,OK,,nugraha,10,A Comprehensive 5G Dataset for Control and Data Plane Security and Resource Management,2025 IEEE International Conference on Cyber Security and Res,2025,A Comprehensive {5G} Dataset for Control and Data Plane Security and Resource Management,1.0
